0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0275,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055,0,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0825,0,0.0502,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1099,0,0.0669,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1374,0,0.0837,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1649,0,0.1004,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1924,0,0.1171,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2199,0,0.1338,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2474,0,0.1506,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2749,0,0.1673,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3023,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3298,0,0.2008,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3573,0,0.2175,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3848,0,0.2342,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4123,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4398,0,0.2677,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4673,0,0.2844,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4948,0,0.3012,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5222,0,0.3179,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5497,0,0.3346,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5772,0,0.3513,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6047,0,0.3681,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6322,0,0.3848,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6597,0,0.4015,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6872,0,0.4183,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7146,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7421,0,0.4517,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7696,0,0.4685,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7971,0,0.4852,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8246,0,0.5019,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8521,0,0.5187,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8796,0,0.5354,0,0,0,0,0,0,0,0,0,0,0,0,0
0.907,0,0.5521,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9345,0,0.5688,0,0,0,0,0,0,0,0,0,0,0,0,0
0.962,0,0.5856,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9895,0,0.6023,0,0,0,0,0,0,0,0,0,0,0,0,0
1.017,0,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0445,0,0.6358,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,0,0.6525,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0994,0,0.6692,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1269,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1544,0,0.7027,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1819,0,0.7194,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2094,0,0.7362,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2369,0,0.7529,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2644,0,0.7696,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2918,0,0.7863,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3193,0,0.8031,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3468,0,0.8198,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3743,0,0.8365,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4018,0,0.8533,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4293,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4568,0,0.8867,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4843,0,0.9035,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5117,0,0.9202,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5392,0,0.9369,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5667,0,0.9537,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5708,0,0.9704,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5708,0,0.9871,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5708,0,1.0038,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5708,0,1.0206,0,0,0,0,0,0,0,0,0,0,0,0,0
